YEAR,MO,DY,HR,TWL
2018,1,9,19,3697
2018,1,9,20,3721
2018,1,9,21,3700
2018,1,9,22,3579
2018,1,9,23,3464
2018,1,10,0,3361
2018,1,10,1,3257
2018,1,10,2,3175
2018,1,10,3,3170
2018,1,10,4,3226
2018,1,10,5,3367
2018,1,10,6,3493
2018,1,10,7,3598
2018,1,10,8,3695
2018,1,10,9,3734
2018,1,10,10,3690
2018,1,10,11,3556
2018,1,10,12,3432
2018,1,10,13,3344
2018,1,10,14,3266
2018,1,10,15,3240
2018,1,10,16,3270
2018,1,10,17,3374
2018,1,10,18,3490
2018,1,10,19,3576
2018,1,10,20,3665
2018,1,10,21,3709
2018,1,10,22,3678
2018,1,10,23,3564
2018,1,11,0,3433
2018,1,11,1,3328
2018,1,11,2,3222
2018,1,11,3,3155
2018,1,11,4,3157
2018,1,11,5,3234
2018,1,11,6,3364
2018,1,11,7,3483
2018,1,11,8,3586
2018,1,11,9,3677
2018,1,11,10,3715
2018,1,11,11,3673
2018,1,11,12,3529
2018,1,11,13,3416
2018,1,11,14,3325
2018,1,11,15,3249
2018,1,11,16,3206
2018,1,11,17,3229
2018,1,11,18,3324
2018,1,11,19,3445
2018,1,11,20,3524
2018,1,11,21,3600
2018,1,11,22,3649
2018,1,11,23,3624
2018,1,12,0,3512
2018,1,12,1,3385
2018,1,12,2,3282
2018,1,12,3,3187
2018,1,12,4,3124
2018,1,12,5,3128
2018,1,12,6,3206
2018,1,12,7,3350
2018,1,12,8,3463
2018,1,12,9,3563
2018,1,12,10,3660
2018,1,12,11,3697
2018,1,12,12,3629
2018,1,12,13,3514
2018,1,12,14,3402
2018,1,12,15,3306
2018,1,12,16,3240
2018,1,12,17,3211
2018,1,12,18,3247
2018,1,12,19,3352
2018,1,12,20,3468
2018,1,12,21,3546
2018,1,12,22,3630
2018,1,12,23,3631
2018,1,13,0,3583
2018,1,13,1,3463
2018,1,13,2,3338
2018,1,13,3,3220
2018,1,13,4,3127
2018,1,13,5,3073
2018,1,13,6,3083
2018,1,13,7,3173
2018,1,13,8,3299
2018,1,13,9,3397
2018,1,13,10,3499
2018,1,13,11,3594
2018,1,13,12,3614
2018,1,13,13,3561
2018,1,13,14,3422
2018,1,13,15,3310
2018,1,13,16,3209
2018,1,13,17,3160
2018,1,13,18,3149
2018,1,13,19,3205
2018,1,13,20,3323
2018,1,13,21,3431
2018,1,13,22,3525
2018,1,13,23,3594
2018,1,14,0,3617
2018,1,14,1,3520
2018,1,14,2,3368
2018,1,14,3,3230
2018,1,14,4,3110
2018,1,14,5,3015
2018,1,14,6,2982
2018,1,14,7,3026
2018,1,14,8,3118
2018,1,14,9,3250
2018,1,14,10,3375
2018,1,14,11,3483
2018,1,14,12,3577
2018,1,14,13,3591
2018,1,14,14,3518
2018,1,14,15,3378
2018,1,14,16,3254
2018,1,14,17,3177
2018,1,14,18,3119
2018,1,14,19,3118
2018,1,14,20,3191
2018,1,14,21,3298
2018,1,14,22,3404
2018,1,14,23,3516
2018,1,15,0,3602
2018,1,15,1,3592
2018,1,15,2,3493
2018,1,15,3,3349
2018,1,15,4,3225
2018,1,15,5,3110
2018,1,15,6,3033
2018,1,15,7,3019
2018,1,15,8,3086
2018,1,15,9,3205
2018,1,15,10,3360
2018,1,15,11,3501
2018,1,15,12,3610
2018,1,15,13,3682
2018,1,15,14,3688
2018,1,15,15,3561
2018,1,15,16,3404
2018,1,15,17,3311
2018,1,15,18,3223
2018,1,15,19,3178
2018,1,15,20,3201
2018,1,15,21,3290
2018,1,15,22,3419
2018,1,15,23,3552
2018,1,16,0,3674
2018,1,16,1,3746
2018,1,16,2,3721
2018,1,16,3,3593
2018,1,16,4,3425
2018,1,16,5,3310
2018,1,16,6,3207
2018,1,16,7,3149
2018,1,16,8,3166
2018,1,16,9,3247
2018,1,16,10,3388
2018,1,16,11,3531
2018,1,16,12,3667
2018,1,16,13,3767
2018,1,16,14,3809
2018,1,16,15,3721
2018,1,16,16,3553
2018,1,16,17,3422
2018,1,16,18,3302
2018,1,16,19,3211
2018,1,16,20,3210
2018,1,16,21,3269
2018,1,16,22,3385
2018,1,16,23,3505
2018,1,17,0,3621
2018,1,17,1,3724
2018,1,17,2,3759
2018,1,17,3,3671
2018,1,17,4,3503
2018,1,17,5,3371
2018,1,17,6,3241
2018,1,17,7,3154
2018,1,17,8,3122
2018,1,17,9,3164
2018,1,17,10,3284
2018,1,17,11,3418
2018,1,17,12,3562
2018,1,17,13,3694
2018,1,17,14,3771
2018,1,17,15,3772
2018,1,17,16,3657
2018,1,17,17,3502
2018,1,17,18,3375
2018,1,17,19,3280
2018,1,17,20,3214
2018,1,17,21,3213
2018,1,17,22,3312
2018,1,17,23,3454
2018,1,18,0,3583
2018,1,18,1,3699
2018,1,18,2,3771
2018,1,18,3,3748
2018,1,18,4,3592
2018,1,18,5,3432
2018,1,18,6,3294
2018,1,18,7,3172
2018,1,18,8,3094
2018,1,18,9,3089
2018,1,18,10,3160
2018,1,18,11,3297
2018,1,18,12,3435
2018,1,18,13,3591
2018,1,18,14,3722
2018,1,18,15,3793
2018,1,18,16,3757
2018,1,18,17,3604
2018,1,18,18,3458
2018,1,18,19,3345
2018,1,18,20,3256
2018,1,18,21,3227
2018,1,18,22,3289
2018,1,18,23,3397
2018,1,19,0,3541
2018,1,19,1,3655
2018,1,19,2,3745
2018,1,19,3,3792
2018,1,19,4,3748
2018,1,19,5,3590
2018,1,19,6,3440
2018,1,19,7,3307
2018,1,19,8,3194
2018,1,19,9,3148
2018,1,19,10,3161
2018,1,19,11,3273
2018,1,19,12,3415
2018,1,19,13,3563
2018,1,19,14,3704
2018,1,19,15,3794
2018,1,19,16,3811
2018,1,19,17,3687
2018,1,19,18,3507
2018,1,19,19,3374
2018,1,19,20,3270
2018,1,19,21,3207
2018,1,19,22,3204
2018,1,19,23,3296
2018,1,20,0,3429
2018,1,20,1,3545
2018,1,20,2,3674
2018,1,20,3,3765
2018,1,20,4,3793
2018,1,20,5,3698
2018,1,20,6,3529
2018,1,20,7,3392
2018,1,20,8,3277
2018,1,20,9,3184
2018,1,20,10,3176
2018,1,20,11,3251
2018,1,20,12,3380
2018,1,20,13,3513
2018,1,20,14,3645
2018,1,20,15,3769
2018,1,20,16,3823
2018,1,20,17,3782
2018,1,20,18,3621
2018,1,20,19,3468
2018,1,20,20,3355
2018,1,20,21,3247
2018,1,20,22,3201
2018,1,20,23,3236
2018,1,21,0,3349
2018,1,21,1,3491
2018,1,21,2,3596
2018,1,21,3,3705
2018,1,21,4,3769
2018,1,21,5,3762
2018,1,21,6,3631
2018,1,21,7,3489
2018,1,21,8,3373
2018,1,21,9,3259
2018,1,21,10,3201
2018,1,21,11,3208
2018,1,21,12,3296
2018,1,21,13,3458
2018,1,21,14,3582
2018,1,21,15,3720
2018,1,21,16,3814
2018,1,21,17,3824
2018,1,21,18,3711
2018,1,21,19,3547
2018,1,21,20,3414
2018,1,21,21,3300
2018,1,21,22,3228
2018,1,21,23,3208
2018,1,22,0,3259
2018,1,22,1,3387
2018,1,22,2,3514
2018,1,22,3,3630
2018,1,22,4,3744
2018,1,22,5,3799
2018,1,22,6,3759
2018,1,22,7,3621
2018,1,22,8,3484
2018,1,22,9,3360
2018,1,22,10,3270
2018,1,22,11,3217
2018,1,22,12,3249
2018,1,22,13,3351
2018,1,22,14,3499
2018,1,22,15,3627
2018,1,22,16,3736
2018,1,22,17,3806
2018,1,22,18,3788
2018,1,22,19,3648
2018,1,22,20,3499
2018,1,22,21,3386
2018,1,22,22,3281
2018,1,22,23,3211
2018,1,23,0,3199
2018,1,23,1,3272
2018,1,23,2,3407
2018,1,23,3,3519
2018,1,23,4,3629
2018,1,23,5,3721
2018,1,23,6,3759
2018,1,23,7,3679
2018,1,23,8,3534
2018,1,23,9,3415
2018,1,23,10,3302
2018,1,23,11,3219
2018,1,23,12,3184
2018,1,23,13,3214
2018,1,23,14,3309
2018,1,23,15,3453
2018,1,23,16,3560
2018,1,23,17,3666
2018,1,23,18,3718
2018,1,23,19,3668
2018,1,23,20,3544
2018,1,23,21,3407
2018,1,23,22,3312
2018,1,23,23,3200
2018,1,24,0,3152
2018,1,24,1,3157
2018,1,24,2,3225
2018,1,24,3,3352
2018,1,24,4,3472
2018,1,24,5,3574
2018,1,24,6,3664
2018,1,24,7,3684
2018,1,24,8,3599
2018,1,24,9,3450
2018,1,24,10,3347
2018,1,24,11,3251
2018,1,24,12,3173
2018,1,24,13,3160
2018,1,24,14,3216
2018,1,24,15,3319
2018,1,24,16,3428
2018,1,24,17,3545
2018,1,24,18,3641
2018,1,24,19,3680
2018,1,24,20,3618
2018,1,24,21,3466
2018,1,24,22,3343
2018,1,24,23,3239
2018,1,25,0,3141
2018,1,25,1,3074
2018,1,25,2,3077
2018,1,25,3,3150
2018,1,25,4,3270
2018,1,25,5,3394
2018,1,25,6,3517
2018,1,25,7,3598
2018,1,25,8,3621
2018,1,25,9,3554
2018,1,25,10,3424
2018,1,25,11,3322
2018,1,25,12,3234
2018,1,25,13,3156
2018,1,25,14,3127
2018,1,25,15,3168
2018,1,25,16,3273
2018,1,25,17,3405
2018,1,25,18,3514
2018,1,25,19,3595
2018,1,25,20,3613
2018,1,25,21,3561
2018,1,25,22,3450
2018,1,25,23,3317
2018,1,26,0,3199
2018,1,26,1,3113
2018,1,26,2,3072
2018,1,26,3,3095
2018,1,26,4,3183
2018,1,26,5,3311
2018,1,26,6,3430
2018,1,26,7,3550
2018,1,26,8,3653
2018,1,26,9,3700
2018,1,26,10,3643
2018,1,26,11,3529
2018,1,26,12,3403
2018,1,26,13,3307
2018,1,26,14,3247
2018,1,26,15,3240
2018,1,26,16,3268
2018,1,26,17,3370
2018,1,26,18,3482
2018,1,26,19,3575
2018,1,26,20,3654
2018,1,26,21,3682
2018,1,26,22,3630
2018,1,26,23,3507
2018,1,27,0,3368
2018,1,27,1,3238
2018,1,27,2,3135
2018,1,27,3,3084
2018,1,27,4,3098
2018,1,27,5,3184
2018,1,27,6,3334
2018,1,27,7,3465
2018,1,27,8,3593
2018,1,27,9,3699
2018,1,27,10,3733
2018,1,27,11,3672
2018,1,27,12,3550
2018,1,27,13,3417
2018,1,27,14,3304
2018,1,27,15,3239
2018,1,27,16,3229
2018,1,27,17,3264
2018,1,27,18,3377
2018,1,27,19,3508
2018,1,27,20,3608
2018,1,27,21,3696
2018,1,27,22,3741
2018,1,27,23,3683
2018,1,28,0,3546
2018,1,28,1,3403
2018,1,28,2,3270
2018,1,28,3,3151
2018,1,28,4,3083
2018,1,28,5,3094
2018,1,28,6,3171
2018,1,28,7,3328
2018,1,28,8,3477
2018,1,28,9,3619
2018,1,28,10,3722
2018,1,28,11,3772
2018,1,28,12,3703
2018,1,28,13,3568
2018,1,28,14,3430
2018,1,28,15,3308
2018,1,28,16,3216
2018,1,28,17,3186
2018,1,28,18,3232
2018,1,28,19,3344
2018,1,28,20,3482
2018,1,28,21,3605
2018,1,28,22,3708
2018,1,28,23,3760
2018,1,29,0,3695
2018,1,29,1,3553
2018,1,29,2,3402
2018,1,29,3,3256
2018,1,29,4,3123
2018,1,29,5,3032
2018,1,29,6,3033
2018,1,29,7,3137
2018,1,29,8,3309
2018,1,29,9,3474
2018,1,29,10,3627
2018,1,29,11,3749
2018,1,29,12,3800
2018,1,29,13,3704
2018,1,29,14,3531
2018,1,29,15,3379
2018,1,29,16,3255
2018,1,29,17,3140
2018,1,29,18,3102
2018,1,29,19,3142
2018,1,29,20,3286
2018,1,29,21,3459
2018,1,29,22,3584
2018,1,29,23,3713
2018,1,30,0,3782
2018,1,30,1,3717
2018,1,30,2,3532
2018,1,30,3,3350
2018,1,30,4,3181
2018,1,30,5,3030
2018,1,30,6,2938
2018,1,30,7,2948
2018,1,30,8,3068
2018,1,30,9,3226
2018,1,30,10,3383
2018,1,30,11,3565
2018,1,30,12,3693
2018,1,30,13,3769
2018,1,30,14,3712
2018,1,30,15,3515
2018,1,30,16,3319
2018,1,30,17,3167
2018,1,30,18,3079
2018,1,30,19,3041
2018,1,30,20,3104
2018,1,30,21,3220
2018,1,30,22,3378
2018,1,30,23,3537
2018,1,31,0,3702
2018,1,31,1,3780
2018,1,31,2,3727
2018,1,31,3,3539
2018,1,31,4,3331
2018,1,31,5,3163
2018,1,31,6,3026
2018,1,31,7,2948
2018,1,31,8,2972
2018,1,31,9,3080
2018,1,31,10,3275
2018,1,31,11,3478
2018,1,31,12,3683
2018,1,31,13,3833
2018,1,31,14,3888
2018,1,31,15,3775
2018,1,31,16,3553
2018,1,31,17,3375
2018,1,31,18,3227
2018,1,31,19,3109
2018,1,31,20,3068
2018,1,31,21,3144
2018,1,31,22,3314
2018,1,31,23,3488
2018,2,1,0,3663
2018,2,1,1,3806
2018,2,1,2,3869
2018,2,1,3,3777
2018,2,1,4,3570
2018,2,1,5,3370
2018,2,1,6,3207
2018,2,1,7,3071
2018,2,1,8,2995
2018,2,1,9,3023
2018,2,1,10,3159
2018,2,1,11,3371
2018,2,1,12,3557
2018,2,1,13,3739
2018,2,1,14,3873
2018,2,1,15,3901
2018,2,1,16,3753
2018,2,1,17,3531
2018,2,1,18,3363
2018,2,1,19,3215
2018,2,1,20,3107
2018,2,1,21,3084
2018,2,1,22,3178
2018,2,1,23,3360
2018,2,2,0,3543
2018,2,2,1,3703
2018,2,2,2,3842
2018,2,2,3,3893
2018,2,2,4,3772
2018,2,2,5,3555
2018,2,2,6,3367
2018,2,2,7,3206
2018,2,2,8,3074
2018,2,2,9,3005
2018,2,2,10,3041
2018,2,2,11,3180
2018,2,2,12,3377
2018,2,2,13,3557
2018,2,2,14,3712
2018,2,2,15,3821
2018,2,2,16,3822
2018,2,2,17,3632
2018,2,2,18,3428
2018,2,2,19,3268
2018,2,2,20,3117
2018,2,2,21,3021
2018,2,2,22,3015
2018,2,2,23,3122
2018,2,3,0,3296
2018,2,3,1,3475
2018,2,3,2,3633
2018,2,3,3,3757
2018,2,3,4,3805
2018,2,3,5,3700
2018,2,3,6,3490
2018,2,3,7,3322
2018,2,3,8,3171
2018,2,3,9,3065
2018,2,3,10,3029
2018,2,3,11,3096
2018,2,3,12,3247
2018,2,3,13,3427
2018,2,3,14,3599
2018,2,3,15,3772
2018,2,3,16,3865
2018,2,3,17,3851
2018,2,3,18,3674
2018,2,3,19,3461
2018,2,3,20,3307
2018,2,3,21,3176
2018,2,3,22,3113
2018,2,3,23,3140
2018,2,4,0,3255
2018,2,4,1,3442
2018,2,4,2,3599
2018,2,4,3,3757
2018,2,4,4,3876
2018,2,4,5,3902
2018,2,4,6,3767
2018,2,4,7,3591
2018,2,4,8,3441
2018,2,4,9,3288
2018,2,4,10,3184
2018,2,4,11,3159
2018,2,4,12,3250
2018,2,4,13,3393
2018,2,4,14,3568
2018,2,4,15,3717
2018,2,4,16,3841
2018,2,4,17,3896
2018,2,4,18,3796
2018,2,4,19,3620
2018,2,4,20,3452
2018,2,4,21,3302
2018,2,4,22,3185
2018,2,4,23,3117
2018,2,5,0,3137
2018,2,5,1,3241
2018,2,5,2,3404
2018,2,5,3,3549
2018,2,5,4,3683
2018,2,5,5,3773
2018,2,5,6,3790
2018,2,5,7,3652
2018,2,5,8,3473
2018,2,5,9,3332
2018,2,5,10,3214
2018,2,5,11,3134
2018,2,5,12,3128
2018,2,5,13,3209
2018,2,5,14,3361
2018,2,5,15,3500
2018,2,5,16,3607
2018,2,5,17,3718
2018,2,5,18,3740
2018,2,5,19,3644
2018,2,5,20,3471
2018,2,5,21,3331
2018,2,5,22,3201
2018,2,5,23,3102
2018,2,6,0,3058
2018,2,6,1,3101
2018,2,6,2,3205
2018,2,6,3,3366
2018,2,6,4,3506
2018,2,6,5,3638
2018,2,6,6,3720
2018,2,6,7,3704
2018,2,6,8,3574
2018,2,6,9,3430
2018,2,6,10,3306
2018,2,6,11,3205
2018,2,6,12,3144
2018,2,6,13,3145
2018,2,6,14,3240
2018,2,6,15,3381
2018,2,6,16,3501
2018,2,6,17,3618
2018,2,6,18,3696
2018,2,6,19,3696
2018,2,6,20,3588
2018,2,6,21,3444
2018,2,6,22,3332
2018,2,6,23,3215
2018,2,7,0,3135
2018,2,7,1,3112
2018,2,7,2,3159
2018,2,7,3,3276
2018,2,7,4,3407
2018,2,7,5,3539
2018,2,7,6,3661
2018,2,7,7,3738
2018,2,7,8,3728
2018,2,7,9,3616
2018,2,7,10,3482
2018,2,7,11,3375
2018,2,7,12,3297
2018,2,7,13,3256
2018,2,7,14,3278
2018,2,7,15,3349
2018,2,7,16,3468
2018,2,7,17,3561
2018,2,7,18,3652
2018,2,7,19,3709
2018,2,7,20,3670
2018,2,7,21,3557
2018,2,7,22,3438
2018,2,7,23,3323
2018,2,8,0,3212
2018,2,8,1,3139
2018,2,8,2,3114
2018,2,8,3,3144
2018,2,8,4,3248
2018,2,8,5,3368
2018,2,8,6,3478
2018,2,8,7,3575
2018,2,8,8,3633
2018,2,8,9,3612
2018,2,8,10,3507
2018,2,8,11,3397
2018,2,8,12,3311
2018,2,8,13,3229
2018,2,8,14,3189
2018,2,8,15,3194
2018,2,8,16,3271
2018,2,8,17,3384
2018,2,8,18,3457
2018,2,8,19,3538
2018,2,8,20,3589
2018,2,8,21,3579
2018,2,8,22,3503
2018,2,8,23,3389
2018,2,9,0,3284
2018,2,9,1,3195
2018,2,9,2,3130
2018,2,9,3,3126
2018,2,9,4,3178
2018,2,9,5,3283
2018,2,9,6,3386
2018,2,9,7,3494
2018,2,9,8,3586
2018,2,9,9,3637
2018,2,9,10,3615
2018,2,9,11,3531
2018,2,9,12,3425
2018,2,9,13,3339
2018,2,9,14,3276
2018,2,9,15,3232
2018,2,9,16,3243
2018,2,9,17,3321
2018,2,9,18,3415
2018,2,9,19,3492
2018,2,9,20,3563
2018,2,9,21,3603
2018,2,9,22,3603
2018,2,9,23,3527
2018,2,10,0,3423
2018,2,10,1,3325
2018,2,10,2,3235
2018,2,10,3,3180
2018,2,10,4,3169
2018,2,10,5,3225
2018,2,10,6,3334
2018,2,10,7,3445
2018,2,10,8,3542
2018,2,10,9,3627
2018,2,10,10,3669
2018,2,10,11,3649
2018,2,10,12,3562
2018,2,10,13,3461
2018,2,10,14,3370
2018,2,10,15,3287
2018,2,10,16,3238
2018,2,10,17,3257
2018,2,10,18,3320
2018,2,10,19,3417
2018,2,10,20,3478
2018,2,10,21,3544
2018,2,10,22,3576
2018,2,10,23,3573
2018,2,11,0,3483
2018,2,11,1,3379
2018,2,11,2,3283
2018,2,11,3,3189
2018,2,11,4,3130
2018,2,11,5,3119
2018,2,11,6,3180
2018,2,11,7,3293
2018,2,11,8,3413
2018,2,11,9,3525
2018,2,11,10,3618
2018,2,11,11,3661
2018,2,11,12,3623
2018,2,11,13,3524
2018,2,11,14,3417
2018,2,11,15,3320
2018,2,11,16,3240
2018,2,11,17,3204
2018,2,11,18,3217
2018,2,11,19,3298
2018,2,11,20,3402
2018,2,11,21,3483
2018,2,11,22,3560
2018,2,11,23,3597
2018,2,12,0,3555
2018,2,12,1,3455
2018,2,12,2,3336
2018,2,12,3,3219
2018,2,12,4,3122
2018,2,12,5,3072
2018,2,12,6,3070
2018,2,12,7,3135
2018,2,12,8,3252
2018,2,12,9,3364
2018,2,12,10,3452
2018,2,12,11,3527
2018,2,12,12,3549
2018,2,12,13,3485
2018,2,12,14,3370
2018,2,12,15,3265
2018,2,12,16,3168
2018,2,12,17,3097
2018,2,12,18,3067
2018,2,12,19,3094
2018,2,12,20,3177
2018,2,12,21,3282
2018,2,12,22,3353
2018,2,12,23,3426
2018,2,13,0,3456
2018,2,13,1,3411
2018,2,13,2,3293
2018,2,13,3,3179
2018,2,13,4,3071
2018,2,13,5,2985
2018,2,13,6,2944
2018,2,13,7,2965
2018,2,13,8,3048
2018,2,13,9,3190
2018,2,13,10,3303
2018,2,13,11,3423
2018,2,13,12,3529
2018,2,13,13,3560
2018,2,13,14,3492
2018,2,13,15,3372
2018,2,13,16,3247
2018,2,13,17,3152
2018,2,13,18,3080
2018,2,13,19,3061
2018,2,13,20,3120
2018,2,13,21,3241
2018,2,13,22,3338
2018,2,13,23,3446
2018,2,14,0,3545
2018,2,14,1,3580
2018,2,14,2,3519
2018,2,14,3,3377
2018,2,14,4,3247
2018,2,14,5,3146
2018,2,14,6,3063
2018,2,14,7,3035
2018,2,14,8,3081
2018,2,14,9,3199
2018,2,14,10,3327
2018,2,14,11,3448
2018,2,14,12,3555
2018,2,14,13,3615
2018,2,14,14,3589
2018,2,14,15,3464
2018,2,14,16,3321
2018,2,14,17,3217
2018,2,14,18,3113
2018,2,14,19,3056
2018,2,14,20,3063
2018,2,14,21,3148
2018,2,14,22,3280
2018,2,14,23,3380
2018,2,15,0,3488
2018,2,15,1,3567
2018,2,15,2,3583
2018,2,15,3,3466
2018,2,15,4,3313
2018,2,15,5,3183
2018,2,15,6,3070
2018,2,15,7,2995
2018,2,15,8,2986
2018,2,15,9,3069
2018,2,15,10,3225
2018,2,15,11,3366
2018,2,15,12,3498
2018,2,15,13,3614
2018,2,15,14,3664
2018,2,15,15,3603
2018,2,15,16,3441
2018,2,15,17,3297
2018,2,15,18,3196
2018,2,15,19,3110
2018,2,15,20,3078
2018,2,15,21,3130
2018,2,15,22,3260
2018,2,15,23,3398
2018,2,16,0,3525
2018,2,16,1,3636
2018,2,16,2,3701
2018,2,16,3,3656
2018,2,16,4,3500
2018,2,16,5,3350
2018,2,16,6,3226
2018,2,16,7,3123
2018,2,16,8,3067
2018,2,16,9,3097
2018,2,16,10,3197
2018,2,16,11,3362
2018,2,16,12,3488
2018,2,16,13,3619
2018,2,16,14,3709
2018,2,16,15,3712
2018,2,16,16,3579
2018,2,16,17,3421
2018,2,16,18,3298
2018,2,16,19,3179
2018,2,16,20,3099
2018,2,16,21,3097
2018,2,16,22,3170
2018,2,16,23,3343
2018,2,17,0,3476
2018,2,17,1,3586
2018,2,17,2,3684
2018,2,17,3,3694
2018,2,17,4,3574
2018,2,17,5,3422
2018,2,17,6,3281
2018,2,17,7,3151
2018,2,17,8,3064
2018,2,17,9,3037
2018,2,17,10,3108
2018,2,17,11,3263
2018,2,17,12,3410
2018,2,17,13,3550
2018,2,17,14,3674
2018,2,17,15,3736
2018,2,17,16,3707
2018,2,17,17,3537
2018,2,17,18,3383
2018,2,17,19,3267
2018,2,17,20,3154
2018,2,17,21,3112
2018,2,17,22,3144
2018,2,17,23,3266
2018,2,18,0,3415
2018,2,18,1,3549
2018,2,18,2,3656
2018,2,18,3,3721
2018,2,18,4,3693
2018,2,18,5,3546
2018,2,18,6,3395
2018,2,18,7,3264
2018,2,18,8,3140
2018,2,18,9,3066
2018,2,18,10,3063
